ID,Skill,Description,Category
1080,Docker Engine,"Docker Engine is not a specific job skill, but rather a software program created by Docker, Inc. that enables the deployment and management of containerized applications. Docker Engine is typically used by individuals with skills in software development, DevOps, cloud computing, and infrastructure management. The ability to configure, troubleshoot, and optimize Docker Engine is often considered a valuable skill for these types of roles.",SpecializedSkill
1081,Docker Hub,"Docker Hub is a cloud-based platform that allows developers to store and share containerized applications and images. It serves as a centralized hub where developers can access and manage their images, collaborate with team members, and deploy their applications to various environments. It also provides a range of valuable features such as automated builds, versioning, and security scanning to streamline the Docker image lifecycle.",SpecializedSkill
1082,Docker Machine,"Docker Machine is a command-line tool used to create and manage Docker hosts on local or remote machines. It automates the process of setting up Docker environments and provides a simple way to manage multiple Docker containers from a single command line. By using Docker Machine, developers can easily deploy and manage their applications on a variety of infrastructure providers including Amazon Web Services, Microsoft Azure, Google Cloud Platform, and more. This specialized skill is important for DevOps professionals who need to create and manage Docker environments in a scalable, efficient, and reproducible way.",SpecializedSkill
1083,Dynamic HTML,"Dynamic HTML, or DHTML, is a collection of technologies used together to create interactive and animated websites by using a combination of a static markup language, a client-side scripting language, a presentation definition language, and the Document Object Model (DOM). The application of DHTML was introduced by Microsoft with the release of Internet Explorer 4 in 1997. Today, references to unobtrusive JavaScript coding have replaced the usage of the term DHTML.",SpecializedSkill
1084,Easy Java Simulations,"Old name \\EJS\\ Easy Java Simulations or new name since 2014 EJSS, or Easy JavaScript Simulations, is an open-source software tool, part of the Open Source Physics project, designed for the creation of discrete computer simulations.",SpecializedSkill
1085,Eclipse (Software),"Eclipse is an integrated development environment (IDE) used in computer programming. It contains a base workspace and an extensible plug-in system for customizing the environment. Eclipse is written mostly in Java and its primary use is for developing Java applications, but it may also be used to develop applications in other programming languages via plug-ins, including Ada, ABAP, C, C++, C#, Clojure, COBOL, D, Erlang, Fortran, Groovy, Haskell, JavaScript, Julia, Lasso, Lua, NATURAL, Perl, PHP, Prolog, Python, R, Ruby, Rust, Scala, and Scheme. It can also be used to develop documents with LaTeX and packages for the software Mathematica. Development environments include the Eclipse Java development tools (JDT) for Java and Scala, Eclipse CDT for C/C++, and Eclipse PDT for PHP, among others.",SpecializedSkill
1086,Eclipse Modeling Framework,Eclipse Modeling Framework (EMF) is an Eclipse-based modeling framework and code generation facility for building tools and other applications based on a structured data model.,SpecializedSkill
1087,Elasticsearch,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java and is dual-licensed under the source-available Server Side Public License and the Elastic license, while other parts fall under the proprietary (source-available) Elastic License. Official clients are available in Java, .NET (C#), PHP, Python, Apache Groovy, Ruby and many other languages. According to the DB-Engines ranking, Elasticsearch is the most popular enterprise search engine followed by Apache Solr, also based on Lucene.",SpecializedSkill
1088,Embedded C++,"Embedded C++ is a specialized programming language used for developing software that runs on a microcontroller or other embedded systems. It differs from standard C++ in that it has specific features and limitations aimed at working with resource-constrained devices. Developing in Embedded C++ requires a strong understanding of hardware and software interactions, and often involves low-level programming, interrupts, and memory handling. It is an important skill for developers creating products in industries such as automotive, aerospace, and medical devices.",SpecializedSkill
1089,Embedded SQL,"Embedded SQL is a method of combining the computing power of a programming language and the database manipulation capabilities of SQL. Embedded SQL statements are SQL statements written inline with the program source code, of the host language. The embedded SQL statements are parsed by an embedded SQL preprocessor and replaced by host-language calls to a code library. The output from the preprocessor is then compiled by the host compiler. This allows programmers to embed SQL statements in programs written in any number of languages such as C/C++, COBOL and Fortran. This differs from SQL-derived programming languages that don't go through discrete preprocessors, such as PL/SQL and T-SQL.",SpecializedSkill
1090,Ethereum,"Ethereum is a decentralized, open-source blockchain with smart contract functionality. Ether (ETH) is the native cryptocurrency of the platform. It is the second-largest cryptocurrency by market capitalization, after Bitcoin. Ethereum is the most actively used blockchain.",SpecializedSkill
1091,Facebook Graph API,"Facebook Graph API is a programming interface that allows developers to access and manipulate data from Facebook's social graph. It enables the creation of applications that integrate with Facebook, offering features such as posting, messaging, user authentication, and more. Understanding this API requires proficiency in programming languages such as JavaScript, PHP, or Python.",SpecializedSkill
1092,Fedora Linux,"Fedora is a Linux distribution developed by the community-supported Fedora Project which is sponsored primarily by Red Hat, a subsidiary of IBM, with additional support from other companies. Fedora contains software distributed under various free and open-source licenses and aims to be on the leading edge of free technologies. Fedora is the upstream source of the commercial Red Hat Enterprise Linux distribution, and subsequently CentOS as well.",SpecializedSkill
1093,Flask (Web Framework),"Flask is a micro web framework written in Python. It is classified as a microframework because it does not require particular tools or libraries. It has no database abstraction layer, form validation, or any other components where pre-existing third-party libraries provide common functions. However, Flask supports extensions that can add application features as if they were implemented in Flask itself. Extensions exist for object-relational mappers, form validation, upload handling, various open authentication technologies and several common framework related tools.",SpecializedSkill
1094,Flutter (Software),"Flutter is an open-source UI software development kit created by Google. It is used to develop cross platform applications for Android, iOS, Linux, Mac, Windows, Google Fuchsia, and the web from a single codebase.",SpecializedSkill
1095,Generic Java,"Generics are a facility of generic programming that were added to the Java programming language in 2004 within version J2SE 5.0. They were designed to extend Java's type system to allow \a type or method to operate on objects of various types while providing compile-time type safety\. The aspect compile-time type safety was not fully achieved, since it was shown in 2016 that it is not guaranteed in all cases.",SpecializedSkill
1096,Generics In Java,"Generics are a facility of generic programming that were added to the Java programming language in 2004 within version J2SE 5.0. They were designed to extend Java's type system to allow \a type or method to operate on objects of various types while providing compile-time type safety\. The aspect compile-time type safety was not fully achieved, since it was shown in 2016 that it is not guaranteed in all cases.",SpecializedSkill
1097,Git Stash,"Git Stash is a command in Git that allows users to temporarily save changes made to their code without committing them, allowing them to switch to a different branch or work on a different feature without losing any progress. The stashed changes can later be retrieved and applied to the code when necessary. This is a useful tool for managing a complex code base with multiple branches and features.",SpecializedSkill
1098,HTML Abstraction Markup Language,"HTML Abstraction Markup Language (HAML) is a lightweight markup language that simplifies the process of writing HTML code. It allows developers to write code in a more concise and efficient manner, by using indentation to show structure and hierarchy. HAML can also help prevent errors and improve readability by enforcing a consistent format. It is commonly used in web development frameworks such as Ruby on Rails.",SpecializedSkill
1099,HTML Application,"An HTML Application (HTA) is a Microsoft Windows program whose source code consists of HTML, Dynamic HTML, and one or more scripting languages supported by Internet Explorer, such as VBScript or JScript. The HTML is used to generate the user interface, and the scripting language is used for the program logic. An HTA executes without the constraints of the internet browser security model; in fact, it executes as a \fully trusted\ application.",SpecializedSkill
1100,HTML Components,HTML Components (HTCs) are a legacy technology used to implement components in script as Dynamic HTML (DHTML) \behaviors\ in the Microsoft Internet Explorer web browser. Such files typically use an .htc extension and the \text/x-component\ MIME type.,SpecializedSkill
1101,HTML Controls,"The HyperText Markup Language, or HTML(HyperText Markup Language) is the standard markup language for documents designed to be displayed in a web browser. It can be assisted by technologies such as Cascading Style Sheets (CSS) and scripting languages such as JavaScript.",SpecializedSkill
1102,HTML Document Object Models,"The Document Object Model (DOM) is a cross-platform and language-independent interface that treats an XML or HTML document as a tree structure wherein each node is an object representing a part of the document. The DOM represents a document with a logical tree. Each branch of the tree ends in a node, and each node contains objects. DOM methods allow programmatic access to the tree; with them one can change the structure, style or content of a document. Nodes can have event handlers attached to them. Once an event is triggered, the event handlers get executed.",SpecializedSkill
1103,HTML Emails,"HTML Emails is a specialized skill focused on creating visually appealing and responsive emails using HTML coding techniques. It involves designing and coding emails that can be effectively delivered and displayed across a range of devices and email clients. This skill is typically used by professionals in the marketing, advertising, or communication industries who want to create engaging and effective email campaigns.",SpecializedSkill
1104,Hadoop Cloudera,"Cloudera, Inc. is a Santa Clara, California-based company that provides an enterprise data cloud accessible via a subscription fee. Built on open source technology, Cloudera’s platform uses analytics and machine learning to yield insights from data through a secure connection. Cloudera’s platform works across hybrid, multi-cloud and on-premises architectures and provides multi-function analytics throughout the edge to AI data lifecycle. As of January 31, 2021, the company had approximately 1,800 customers.",SpecializedSkill
1105,Hadoop Distributed File System (HDFS),"Apache Hadoop is a collection of open-source software utilities that facilitates using a network of many computers to solve problems involving massive amounts of data and computation. It provides a software framework for distributed storage and processing of big data using the MapReduce programming model. Hadoop was originally designed for computer clusters built from commodity hardware, which is still the common use. It has since also found use on clusters of higher-end hardware. All the modules in Hadoop are designed with a fundamental assumption that hardware failures are common occurrences and should be automatically handled by the framework.",SpecializedSkill
1106,Hierarchical And Recursive Queries In SQL,"A hierarchical query is a type of SQL query that handles hierarchical model data. They are special cases of more general recursive fixpoint queries, which compute transitive closures.",SpecializedSkill
1107,Hyper SQL Database (HSQLDB),"HSQLDB is a relational database management system that is written in Java and runs on various platforms. It features high performance, small footprint, and supports various SQL standards. It can be used as a standalone database or can be embedded into Java applications. HSQLDB is open-source and free to use.",SpecializedSkill
1108,Hyperledger,"Hyperledger is an umbrella project of open source blockchains and related tools, started in December 2015 by the Linux Foundation, and has received contributions from IBM, Intel and SAP Ariba, to support the collaborative development of blockchain-based distributed ledgers.",SpecializedSkill
1109,IDS InfoLease (Asset Finance Technology),"IDS InfoLease is a specialized asset finance technology software that streamlines leasing and financing operations for businesses. It offers a range of features including inventory management, lease accounting, contract management, and reporting tools to help businesses manage their leasing portfolios efficiently. It is designed to support leasing operations across different types of assets such as vehicles, equipment, and real estate. IDS InfoLease helps businesses reduce operational costs, maximize profitability, and improve customer satisfaction.",SpecializedSkill
1110,Informatica Cloud,"Informatica is a software development company founded in 1993. It is headquartered in Redwood City, California. Its core products include Enterprise Cloud Data Management and Data Integration. It was co-founded by Gaurav Dhillon and Diaz Nesamoney. Amit Walia is the company's CEO.",SpecializedSkill
1111,Informatica Master Data Management,"Informatica Master Data Management is a software that helps organizations manage and maintain their master data, which is the primary reference data that supports key business processes. It ensures that the data is accurate, complete, and consistent across all applications and systems. This helps improve operational efficiency, reduce costs, and minimize risks associated with business decisions. Master Data Management software also enables organizations to create a single, authoritative view of customer, product, and supplier data, which can be shared across the enterprise.",SpecializedSkill
1112,Informatica Powercenter,"Informatica is a software development company founded in 1993. It is headquartered in Redwood City, California. Its core products include Enterprise Cloud Data Management and Data Integration. It was co-founded by Gaurav Dhillon and Diaz Nesamoney. Amit Walia is the company's CEO.",SpecializedSkill
1113,J2C - Java To C++ Converter,"J2C - Java To C++ Converter is a software that enables the conversion of Java code to C++ code. Users with this specialized skill are able to effectively convert Java code to C++ code, making the code more versatile and adaptable to a wider range of systems and platforms. This skill is important for software developers who need to create applications that can run on different platforms, such as desktop, mobile, or embedded systems.",SpecializedSkill
1114,Java 11,"Java is a set of computer software and specifications developed by James Gosling at Sun Microsystems, which was later acquired by the Oracle Corporation, that provides a system for developing application software and deploying it in a cross-platform computing environment. Java is used in a wide variety of computing platforms from embedded devices and mobile phones to enterprise servers and supercomputers. Java applets, which are less common than standalone Java applications, were commonly run in secure, sandboxed environments to provide many features of native applications through being embedded in HTML pages.",SpecializedSkill
1115,Java 7,"Java 7 is a version of the programming language Java that was released in 2011. It introduced several new features and improvements, including support for dynamic languages, better exception handling, new I/O APIs, and improved performance. It also added support for multi-catch statements, try-with-resources, strings in switch statements, and more. Knowledge of Java 7 is useful for developers who want to create modern, efficient, and secure applications using Java.",SpecializedSkill
1116,Java 8,"Java is a set of computer software and specifications developed by James Gosling at Sun Microsystems, which was later acquired by the Oracle Corporation, that provides a system for developing application software and deploying it in a cross-platform computing environment. Java is used in a wide variety of computing platforms from embedded devices and mobile phones to enterprise servers and supercomputers. Java applets, which are less common than standalone Java applications, were commonly run in secure, sandboxed environments to provide many features of native applications through being embedded in HTML pages.",SpecializedSkill
1117,Java 9,"Java is a set of computer software and specifications developed by James Gosling at Sun Microsystems, which was later acquired by the Oracle Corporation, that provides a system for developing application software and deploying it in a cross-platform computing environment. Java is used in a wide variety of computing platforms from embedded devices and mobile phones to enterprise servers and supercomputers. Java applets, which are less common than standalone Java applications, were commonly run in secure, sandboxed environments to provide many features of native applications through being embedded in HTML pages.",SpecializedSkill
1118,Java API For RESTful Web Services,"Jakarta RESTful Web Services, is a Jakarta EE API specification that provides support in creating web services according to the Representational State Transfer (REST) architectural pattern. JAX-RS uses annotations, introduced in Java SE 5, to simplify the development and deployment of web service clients and endpoints.",SpecializedSkill
1119,Java API For XML Processing,"In computing, the Java API for XML Processing, or JAXP, one of the Java XML Application programming interfaces, provides the capability of validating and parsing XML documents. It has three basic parsing interfaces:the Document Object Model parsing interface or DOM interface
the Simple API for XML parsing interface or SAX interface
the Streaming API for XML or StAX interface",SpecializedSkill
1120,Java API For XML Registries,Jakarta XML Registries defines a standard API for Jakarta EE applications to access and programmatically interact with various kinds of metadata registries. JAXR is one of the Java XML programming APIs. The JAXR API was developed under the Java Community Process as JSR 93.,SpecializedSkill
1121,Java Advanced Imaging,Java Advanced Imaging (JAI) is a Java platform extension API which allows developers to create their own image manipulation routines.,SpecializedSkill
1122,Java Architecture For XML Binding,"Jakarta XML Binding is a software framework that allows Jakarta EE developers to map Java classes to XML representations. JAXB provides two main features: the ability to marshal Java objects into XML and the inverse, i.e. to unmarshal XML back into Java objects. In other words, JAXB allows storing and retrieving data in memory in any XML format, without the need to implement a specific set of XML loading and saving routines for the program's class structure. It is similar to xsd.exe and XmlSerializer in the .NET Framework.",SpecializedSkill
1123,Java Architectures,"Java architecture is the process of designing and developing software applications using the Java programming language. It involves a systematic approach to creating software that meets the needs of the end-users while also adhering to best practices and industry standards. Java architecture involves multiple layers, including the presentation layer, application layer, and database layer, and the architecture must be scalable, maintainable, and secure. A Java architect must possess a deep understanding of Java programming concepts, design patterns, object-oriented programming, and database technologies to build robust and successful software applications.",SpecializedSkill
1124,Java Authentication And Authorization Services,"Java Authentication and Authorization Service, or JAAS, pronounced \Jazz\, is the Java implementation of the standard Pluggable Authentication Module (PAM) information security framework.
JAAS was introduced as an extension library to the Java Platform, Standard Edition 1.3 and was integrated in version 1.4.",SpecializedSkill
1125,Java Batch,"Java Batch is a specialized skill that involves using the Java programming language to create batch processing applications for automated execution of processes, data manipulation, and reporting. It requires knowledge of programming concepts, Java language syntax, database management, and other related technologies. Java Batch is commonly used in areas such as financial and insurance industries, healthcare, and logistics to perform large-scale data processing and automation tasks.",SpecializedSkill
1126,Java Business Process Management,"Java Business Process Management (BPM) is a software skill that involves designing, modeling, analyzing, and optimizing business processes using Java-based tools and frameworks. This specialized skill enables businesses to automate their workflows, improve efficiency, and enhance customer experience. It requires knowledge of Java programming, BPMN modeling, business process analysis, and workflow automation techniques. Java BPM experts work closely with business analysts, project managers, and software developers to design and implement robust, scalable, and maintainable BPM solutions tailored to the needs of specific industries and organizations.",SpecializedSkill
1127,Java Bytecode,Java bytecode is the instruction set of the Java virtual machine (JVM).,SpecializedSkill
1128,Java Compilers,"A Java compiler is a compiler for the programming language Java. The most common form of output from a Java compiler is Java class files containing platform-neutral Java bytecode, but there are also compilers that output optimized native machine code for a particular hardware/operating system combination.",SpecializedSkill
1129,Java Concurrency,"The Java programming language and the Java virtual machine (JVM) have been designed to support concurrent programming, and all execution takes place in the context of threads. Objects and resources can be accessed by many separate threads; each thread has its own path of execution but can potentially access any object in the program. The programmer must ensure read and write access to objects is properly coordinated between threads. Thread synchronization ensures that objects are modified by only one thread at a time and that threads are prevented from accessing partially updated objects during modification by another thread. The Java language has built-in constructs to support this coordination.",SpecializedSkill
1130,Java Cryptography Extension,"The Java Cryptography Extension (JCE) is an officially released Standard Extension to the Java Platform and part of Java Cryptography Architecture (JCA). JCE provides a framework and implementation for encryption, key generation and key agreement, and Message Authentication Code (MAC) algorithms. JCE supplements the Java platform, which already includes interfaces and implementations of message digests and digital signatures. Installation is specific to the version of the Java Platform being used, with downloads available for Java 6, Java 7, and Java 8.",SpecializedSkill
1131,Java Database Connectivity,"Java Database Connectivity (JDBC) is an application programming interface (API) for the programming language Java, which defines how a client may access a database. It is a Java-based data access technology used for Java database connectivity. It is part of the Java Standard Edition platform, from Oracle Corporation. It provides methods to query and update data in a database, and is oriented toward relational databases. A JDBC-to-ODBC bridge enables connections to any ODBC-accessible data source in the Java virtual machine (JVM) host environment.",SpecializedSkill
1132,Java Development Kit,"The Java Development Kit (JDK) is an implementation of either one of the Java Platform, Standard Edition, Java Platform, Enterprise Edition, or Java Platform, Micro Edition platforms released by Oracle Corporation in the form of a binary product aimed at Java developers on Solaris, Linux, macOS or Windows. The JDK includes a private JVM and a few other resources to finish the development of a Java application. Since the introduction of the Java platform, it has been by far the most widely used Software Development Kit (SDK).",SpecializedSkill
1133,Java Development Tools,"The Java Development Kit (JDK) is an implementation of either one of the Java Platform, Standard Edition, Java Platform, Enterprise Edition, or Java Platform, Micro Edition platforms released by Oracle Corporation in the form of a binary product aimed at Java developers on Solaris, Linux, macOS or Windows. The JDK includes a private JVM and a few other resources to finish the development of a Java application. Since the introduction of the Java platform, it has been by far the most widely used Software Development Kit (SDK).",SpecializedSkill
1134,Java EE Application,A Jakarta EE application is any deployable unit of Jakarta EE functionality. This can be a single Jakarta EE module or a group of modules packaged into an EAR file along with a Jakarta EE application deployment descriptor. Jakarta EE applications are typically engineered to be distributed across multiple computing tiers.,SpecializedSkill
1135,Java Enterprise Edition,"Jakarta EE, formerly Java Platform, Enterprise Edition and Java 2 Platform, Enterprise Edition (J2EE) is a set of specifications, extending Java SE with specifications for enterprise features such as distributed computing and web services. Jakarta EE applications are run on reference runtimes, that can be microservices or application servers, which handle transactions, security, scalability, concurrency and management of the components it is deploying.",SpecializedSkill
1136,Java Foundation Classes,"The Java Foundation Classes (JFC) are a graphical framework for building portable Java-based graphical user interfaces (GUIs). JFC consists of the Abstract Window Toolkit (AWT), Swing and Java 2D. Together, they provide a consistent user interface for Java programs, regardless of whether the underlying user interface system is Windows, macOS or Linux.",SpecializedSkill
1137,Java Full Stack Development,"Java Full Stack Development is a specialized skill that involves the development of applications using the Java programming language for both front-end and back-end development. It requires knowledge of various technologies and frameworks such as HTML, CSS, JavaScript, Angular, Node.js, Spring Boot, Hibernate, and more. Java Full Stack Developers need to have a deep understanding of web development and design principles, as well as the ability to work with databases and web servers. They are responsible for creating high-quality, responsive, and user-friendly web applications that meet the needs of clients and end-users.",SpecializedSkill
1138,Java Keywords,"In the Java programming language, a keyword is any one of 52 reserved words that have a predefined meaning in the language; because of this, programmers cannot use keywords as names for variables, methods, classes, or as any other identifier. Of these 52 keywords, 49 are in use, 1 is in preview, and 2 are not in use. Due to their special functions in the language, most integrated development environments for Java use syntax highlighting to display keywords in a different colour for easy identification.",SpecializedSkill
1139,Java Logging Framework,A Java logging framework is a computer data logging package for the Java platform. This article covers general purpose logging frameworks.,SpecializedSkill
1140,Java Management Extensions,"Java Management Extensions (JMX) is a Java technology that supplies tools for managing and monitoring applications, system objects, devices and service-oriented networks. Those resources are represented by objects called MBeans. In the API, classes can be dynamically loaded and instantiated.
Managing and monitoring applications can be designed and developed using the Java Dynamic Management Kit.",SpecializedSkill
1141,Java Message Service (JMS),"The Jakarta Messaging API is a Java application programming interface (API) for message-oriented middleware. It provides generic messaging models, able to handle the producer–consumer problem, that can be used to facilitate the sending and receiving of messages between software systems. Jakarta Messaging is a part of Jakarta EE and was originally defined by a specification developed at Sun Microsystems before being guided by the Java Community Process.",SpecializedSkill
1142,Java Module,"The Java Platform Module System specifies a distribution format for collections of Java code and associated resources. It also specifies a repository for storing these collections, or modules, and identifies how they can be discovered, loaded and checked for integrity. It includes features such as namespaces with the aim of fixing some of the shortcomings in the existing JAR format, especially the JAR Hell, which can lead to issues such as classpath and class loading problems.",SpecializedSkill
1143,Java Naming And Directory Interface,"The Java Naming and Directory Interface (JNDI) is a Java API for a directory service that allows Java software clients to discover and look up data and resources via a name. Like all Java APIs that interface with host systems, JNDI is independent of the underlying implementation. Additionally, it specifies a service provider interface (SPI) that allows directory service implementations to be plugged into the framework. The information looked up via JNDI may be supplied by a server, a flat file, or a database; the choice is up to the implementation used.",SpecializedSkill
1144,Java Native Interface,"In software design, the Java Native Interface (JNI) is a foreign function interface programming framework that enables Java code running in a Java virtual machine (JVM) to call and be called by native applications and libraries written in other languages such as C, C++ and assembly.",SpecializedSkill
1145,Java Network Launch Protocol (JNLP),"Java Network Launch Protocol (JNLP) is a technology that allows an application to be launched and run over a network, typically the internet. It provides a way for Java applications to be deployed and executed on remote client machines without the need for manual installation or configuration. JNLP files contain information about the application, including its location, version, and required resources, which are used by the Java Web Start software to download and launch the application.",SpecializedSkill
1146,Java Object Oriented Querying,"jOOQ Object Oriented Querying, commonly known as jOOQ, is a light database-mapping software library in Java that implements the active record pattern. Its purpose is to be both relational and object oriented by providing a domain-specific language to construct queries from classes generated from a database schema.",SpecializedSkill
1147,Java Package,"A Java package organizes Java classes into namespaces, 
providing a unique namespace for each type it contains. 
Classes in the same package can access each other's package-private and protected members.",SpecializedSkill
1148,Java Persistence API,Jakarta Persistence is a Jakarta EE application programming interface specification that describes the management of relational data in enterprise Java applications.,SpecializedSkill
1149,Java Persistence Query Language,The Jakarta Persistence Query Language is a platform-independent object-oriented query language defined as part of the Jakarta Persistence specification.,SpecializedSkill
1150,Java Platform Enterprise Edition (J2EE),"Jakarta EE, formerly Java Platform, Enterprise Edition and Java 2 Platform, Enterprise Edition (J2EE), is a set of specifications, extending Java SE with specifications for enterprise features such as distributed computing and web services. Jakarta EE applications are run on reference runtimes, that can be microservices or application servers, which handle transactions, security, scalability, concurrency and management of the components it is deploying.",SpecializedSkill
1151,Java Platform Standard Edition (J2SE),"Java Platform, Standard Edition is a computing platform for development and deployment of portable code for desktop and server environments. Java SE was formerly known as Java 2 Platform, Standard Edition (J2SE).",SpecializedSkill
1152,Java Portlet Specification,The Java Portlet Specification defines a contract between the portlet container and portlets and provides a convenient programming model for Java portlet developers.,SpecializedSkill
1153,Java Profiler,"A Java Profiler is a software tool used to analyze and optimize the performance of Java applications. It can identify bottlenecks in the code, memory leaks, CPU usage, and other performance-related issues. Java Profilers provide detailed insights into the application's behavior, including thread activity, heap memory usage, object allocation, and method execution times. This information is crucial to developers and system administrators to diagnose and fix performance issues that impact user experience and productivity.",SpecializedSkill
1154,Java Runtime Environment,A Java virtual machine (JVM) is a virtual machine that enables a computer to run Java programs as well as programs written in other languages that are also compiled to Java bytecode. The JVM is detailed by a specification that formally describes what is required in a JVM implementation. Having a specification ensures interoperability of Java programs across different implementations so that program authors using the Java Development Kit (JDK) need not worry about idiosyncrasies of the underlying hardware platform.,SpecializedSkill
1155,Java Scripting Languages,"This list of JVM Languages comprises notable computer programming languages that are used to produce computer software that runs on the Java virtual machine (JVM). Some of these languages are interpreted by a Java program, and some are compiled to Java bytecode and JIT-compiled during execution as regular Java programs to improve performance.",SpecializedSkill
1156,Java Secure Socket Extension,"In computing, the Java Secure Socket Extension (JSSE) provides a set of packages that enable secure Internet communications. It implements a Java technology version of the Secure Sockets Layer (SSL) and the Transport Layer Security (TLS) protocols. It includes functionality for data encryption, server authentication, message integrity, and optional client-authentication.",SpecializedSkill
1157,Java Security,"The Java platform provides a number of features designed for improving the security of Java applications. This includes enforcing runtime constraints through the use of the Java Virtual Machine (JVM), a security manager that sandboxes untrusted code from the rest of the operating system, and a suite of security APIs that Java developers can utilise. Despite this, criticism has been directed at the programming language, and Oracle, due to an increase in malicious programs that revealed security vulnerabilities in the JVM, which were subsequently not properly addressed by Oracle in a timely manner.",SpecializedSkill
1158,Java Servlet,"A Jakarta Servlet is a Java software component that extends the capabilities of a server. Although servlets can respond to many types of requests, they most commonly implement web containers for hosting web applications on web servers and thus qualify as a server-side servlet web API. Such web servlets are the Java counterpart to other dynamic web content technologies such as PHP and ASP.NET.",SpecializedSkill
1159,Java Transaction API,"The Jakarta Transactions, one of the Jakarta EE APIs, enables distributed transactions to be done across multiple X/Open XA resources in a Java environment. JTA was a specification developed under the Java Community Process as JSR 907. JTA provides for:demarcation of transaction boundaries
X/Open XA API allowing resources to participate in transactions.",SpecializedSkill
1160,Java Virtual Machine (JVM),A Java virtual machine (JVM) is a virtual machine that enables a computer to run Java programs as well as programs written in other languages that are also compiled to Java bytecode. The JVM is detailed by a specification that formally describes what is required in a JVM implementation. Having a specification ensures interoperability of Java programs across different implementations so that program authors using the Java Development Kit (JDK) need not worry about idiosyncrasies of the underlying hardware platform.,SpecializedSkill
1161,Java Web Services,"Jakarta Web Services Metadata, as a part of Jakarta XML Web Services (JAX-WS), is a Java programming language specification (JSR-181) primarily used to standardize the development of web service interfaces for the Jakarta EE platform.",SpecializedSkill
1162,Java Web Start,"In computing, Java Web Start was a framework developed by Sun Microsystems that allows users to start application software for the Java Platform directly from the Internet using a web browser. Some key benefits of this technology included seamless version updating for globally distributed applications and greater control of memory allocation to the Java virtual machine.",SpecializedSkill
1163,Java XML,"The Java programming language XML APIs developed by Sun Microsystems consist of the following separate computer-programming APIs:Java API for XML Processing, or JAXP
Java API for XML Messaging, or JAXM
Jakarta XML RPC, or JAX-RPC — formerly Java API for XML Based RPC deprecated for Java API for XML Web Services
Jakarta XML Registries, or JAXR — formerly Java API for XML Registries
Jakarta XML Web Services, or JAX-WS — formerly Java API for XML Web Services
Jakarta RESTful Web Services, or JAX-RS — formerly Java API for RESTful Web Services
Java API for XQuery, or XQJ
Jakarta XML Binding, or JAXB — formerly Java Architecture for XML Binding 
Streaming XML processing, or StAX",SpecializedSkill
1164,JavaScript (Programming Language),"JavaScript, often abbreviated as JS, is a programming language that conforms to the ECMAScript specification. JavaScript is high-level, often just-in-time compiled, and multi-paradigm. It has curly-bracket syntax, dynamic typing, prototype-based object-orientation, and first-class functions.",SpecializedSkill
1165,JavaScript Build,"JavaScript Build is a specialized skill that involves creating build processes and automation workflows using tools and technologies such as Webpack, Gulp, Grunt, and npm. This skill is essential for front-end developers and is used to optimize, compile, and bundle JavaScript code for better performance and faster loading times. It requires knowledge of programming concepts, server-side scripting, and various build tools and their configurations.",SpecializedSkill
1166,JavaScript Engine,"A JavaScript engine is a computer program that executes JavaScript (JS) code. The first JavaScript engines were mere interpreters, but all relevant modern engines use just-in-time compilation for improved performance.",SpecializedSkill
1167,JavaScript Frameworks,"A JavaScript framework is an application framework written in JavaScript. It differs from a JavaScript library in its control flow: A library offers functions to be called by its parent code, whereas a framework defines the entire application design. A developer does not call a framework; instead, the framework calls and uses the code in some particular way. Some JavaScript frameworks follow the model–view–controller paradigm designed to segregate a web application into orthogonal units to improve code quality and maintainability. Examples include AngularJS, Ember.js, Meteor.js, and Vue.js.",SpecializedSkill
1168,JavaScript Libraries,"A JavaScript library is a library of pre-written JavaScript that allows for easier development of JavaScript-based applications, especially for AJAX and other web-centric technologies.",SpecializedSkill
1169,Jenkins 2,"Jenkins is a free and open source automation server. It helps automate the parts of software development related to building, testing, and deploying, facilitating continuous integration and continuous delivery. It is a server-based system that runs in servlet containers such as Apache Tomcat. It supports version control tools, including AccuRev, CVS, Subversion, Git, Mercurial, Perforce, ClearCase and RTC, and can execute Apache Ant, Apache Maven and sbt based projects as well as arbitrary shell scripts and Windows batch commands.",SpecializedSkill
1170,Kibana,"Kibana is a data visualization dashboard for Elasticsearch. It provides visualization capabilities on top of the content indexed on an Elasticsearch cluster. Users can create bar, line and scatter plots, or pie charts and maps on top of large volumes of data.",SpecializedSkill
1171,Kotlin,"Kotlin is a cross-platform, statically typed, general-purpose programming language with type inference. Kotlin is designed to interoperate fully with Java, and the JVM version of Kotlin's standard library depends on the Java Class Library,

but type inference allows its syntax to be more concise. Kotlin mainly targets the JVM, but also compiles to JavaScript or native code via LLVM. Language development costs are borne by JetBrains, while the Kotlin Foundation protects the Kotlin trademark.",SpecializedSkill
1172,LINQ To SQL,"LINQ To SQL is a technology that enables developers to map relational databases to .NET objects, allowing them to use LINQ queries to retrieve and manipulate data in the database. It simplifies data access code and provides a more intuitive way to interact with data, which saves developers time and reduces errors. It requires knowledge of C# or VB.NET and SQL syntax.",SpecializedSkill
