t.name,s.id,s.name,s.description,labels(s)
"""Angular Developer""","""BGSBB00D5911C9C245D7""","""Angular Components""","""Angular is a TypeScript-based free and open-source web application framework led by the Angular Team at Google and by a community of individuals and corporations. Angular is a complete rewrite from the same team that built AngularJS.""","[""SpecializedSkill""]"
"""Full Stack C# Developer""","""BGSBB00D5911C9C245D7""","""Angular Components""","""Angular is a TypeScript-based free and open-source web application framework led by the Angular Team at Google and by a community of individuals and corporations. Angular is a complete rewrite from the same team that built AngularJS.""","[""SpecializedSkill""]"
"""Full Stack Java Developer""","""BGSBB00D5911C9C245D7""","""Angular Components""","""Angular is a TypeScript-based free and open-source web application framework led by the Angular Team at Google and by a community of individuals and corporations. Angular is a complete rewrite from the same team that built AngularJS.""","[""SpecializedSkill""]"
"""Web Developer""","""BGSBB00D5911C9C245D7""","""Angular Components""","""Angular is a TypeScript-based free and open-source web application framework led by the Angular Team at Google and by a community of individuals and corporations. Angular is a complete rewrite from the same team that built AngularJS.""","[""SpecializedSkill""]"
"""Angular Developer""","""KSM72DQX6NAMAD5W02FF""","""Angular Material""","""Angular is a TypeScript-based open-source web application framework led by the Angular Team at Google and by a community of individuals and corporations. Angular is a complete rewrite from the same team that built AngularJS.""","[""SpecializedSkill""]"
"""Full Stack C# Developer""","""KSM72DQX6NAMAD5W02FF""","""Angular Material""","""Angular is a TypeScript-based open-source web application framework led by the Angular Team at Google and by a community of individuals and corporations. Angular is a complete rewrite from the same team that built AngularJS.""","[""SpecializedSkill""]"
"""Full Stack Java Developer""","""KSM72DQX6NAMAD5W02FF""","""Angular Material""","""Angular is a TypeScript-based open-source web application framework led by the Angular Team at Google and by a community of individuals and corporations. Angular is a complete rewrite from the same team that built AngularJS.""","[""SpecializedSkill""]"
"""GUI Developer""","""KSM72DQX6NAMAD5W02FF""","""Angular Material""","""Angular is a TypeScript-based open-source web application framework led by the Angular Team at Google and by a community of individuals and corporations. Angular is a complete rewrite from the same team that built AngularJS.""","[""SpecializedSkill""]"
"""UI/UX Developer""","""KSM72DQX6NAMAD5W02FF""","""Angular Material""","""Angular is a TypeScript-based open-source web application framework led by the Angular Team at Google and by a community of individuals and corporations. Angular is a complete rewrite from the same team that built AngularJS.""","[""SpecializedSkill""]"
""".NET Developer""","""BGS98DEB4224A6D0DD45""","""Angular Reactive Forms""","""Angular Reactive Forms is a feature in the Angular framework that provides a way to create forms and handle their submission in a reactive and robust manner. It is used to build complex forms that interact with the backend API and validate user input. It simplifies the process of capturing and validating user input by providing a reactive approach to form creation and management. This helps developers to create dynamic applications with a focus on performance and user experience.""","[""SpecializedSkill""]"
"""Angular Developer""","""BGS98DEB4224A6D0DD45""","""Angular Reactive Forms""","""Angular Reactive Forms is a feature in the Angular framework that provides a way to create forms and handle their submission in a reactive and robust manner. It is used to build complex forms that interact with the backend API and validate user input. It simplifies the process of capturing and validating user input by providing a reactive approach to form creation and management. This helps developers to create dynamic applications with a focus on performance and user experience.""","[""SpecializedSkill""]"
"""Angular UI Developer""","""KSQ0RWT9J5S6JT07G4R1""","""Angular Ui""","""Angular UI is a user interface framework for developing web and mobile apps using the AngularJS framework. It provides a set of pre-built UI components and tools that enable developers to easily create responsive, modern user interfaces with minimal coding. This specialized skill involves proficiency in AngularJS, HTML, CSS, and JavaScript, as well as a working knowledge of UI/UX design principles.""","[""SpecializedSkill""]"
"""Angular Developer""","""KSQ0RWT9J5S6JT07G4R1""","""Angular Ui""","""Angular UI is a user interface framework for developing web and mobile apps using the AngularJS framework. It provides a set of pre-built UI components and tools that enable developers to easily create responsive, modern user interfaces with minimal coding. This specialized skill involves proficiency in AngularJS, HTML, CSS, and JavaScript, as well as a working knowledge of UI/UX design principles.""","[""SpecializedSkill""]"
"""Java Developer""","""KSQ0RWT9J5S6JT07G4R1""","""Angular Ui""","""Angular UI is a user interface framework for developing web and mobile apps using the AngularJS framework. It provides a set of pre-built UI components and tools that enable developers to easily create responsive, modern user interfaces with minimal coding. This specialized skill involves proficiency in AngularJS, HTML, CSS, and JavaScript, as well as a working knowledge of UI/UX design principles.""","[""SpecializedSkill""]"
"""Full Stack Java Developer""","""KSQ0RWT9J5S6JT07G4R1""","""Angular Ui""","""Angular UI is a user interface framework for developing web and mobile apps using the AngularJS framework. It provides a set of pre-built UI components and tools that enable developers to easily create responsive, modern user interfaces with minimal coding. This specialized skill involves proficiency in AngularJS, HTML, CSS, and JavaScript, as well as a working knowledge of UI/UX design principles.""","[""SpecializedSkill""]"
"""Hadoop Developer""","""KS124KS624R3L2W8RKM6""","""Apache Hadoop""","""Apache Hadoop is a collection of open-source software utilities that facilitates using a network of many computers to solve problems involving massive amounts of data and computation. It provides a software framework for distributed storage and processing of big data using the MapReduce programming model. Hadoop was originally designed for computer clusters built from commodity hardware, which is still the common use. It has since also found use on clusters of higher-end hardware. All the modules in Hadoop are designed with a fundamental assumption that hardware failures are common occurrences and should be automatically handled by the framework.""","[""SpecializedSkill""]"
"""Linux Developer""","""KS120MD75MPRZ64K246K""","""Arch Linux""","""Arch Linux is a Linux distribution for computers with x86-64 processors. 
Arch Linux adheres to the KISS principle and is focused on simplicity, modernity, pragmatism, user centrality, and versatility. In practice, this means the project attempts to have minimal distribution-specific changes, and therefore minimal breakage with updates, and be pragmatic over ideological design choices and focus on customizability rather than user-friendliness.""","[""SpecializedSkill""]"
"""Windows Developer""","""KS4423D6478QFMTP9BY7""","""Architecture Of Windows NT""","""The architecture of Windows NT, a line of operating systems produced and sold by Microsoft, is a layered design that consists of two main components, user mode and kernel mode. It is a preemptive, reentrant multitasking operating system, which has been designed to work with uniprocessor and symmetrical multiprocessor (SMP)-based computers. To process input/output (I/O) requests, they use packet-driven I/O, which utilizes I/O request packets (IRPs) and asynchronous I/O. Starting with Windows XP, Microsoft began making 64-bit versions of Windows available; before this, there were only 32-bit versions of these operating systems.""","[""SpecializedSkill""]"
"""Software Developer""","""ESDEECEE0A4A2A0720E8""","""Associate Android Developer Certification""","""Android software development is the process by which applications are created for devices running the Android operating system. Google states that \""Android apps can be written using Kotlin, Java, and C++ languages\"" using the Android software development kit (SDK), while using other languages is also possible. All non-Java virtual machine (JVM) languages, such as Go, JavaScript, C, C++ or assembly, need the help of JVM language code, that may be supplied by tools, likely with restricted API support. Some programming languages and tools allow cross-platform app support. Third party tools, development environments, and language support have also continued to evolve and expand since the initial SDK was released in 2008. The official Android app distribution mechanism to end users is Google Play; it also allows staged gradual app release, as well as distribution of pre-release app versions to testers.""","[""Certification""]"
"""Full Stack C# Developer""","""ES9BD933F15B5EADD4BE""","""Azure API Apps""","""Azure API Apps is a cloud-based service that allows software developers to build, host, and manage APIs (Application Programming Interfaces) in a secure and scalable manner. Using Azure API Apps, developers can easily create APIs that can be accessed by other software applications, mobile devices, or web browsers. The service provides features such as authentication and authorization, caching, monitoring and logging, and integration with other Azure services. It supports multiple programming languages and frameworks, making it easy for developers to build APIs using their preferred tools and technologies.""","[""SpecializedSkill""]"
"""Microsoft CRM Developer""","""ES9BD933F15B5EADD4BE""","""Azure API Apps""","""Azure API Apps is a cloud-based service that allows software developers to build, host, and manage APIs (Application Programming Interfaces) in a secure and scalable manner. Using Azure API Apps, developers can easily create APIs that can be accessed by other software applications, mobile devices, or web browsers. The service provides features such as authentication and authorization, caching, monitoring and logging, and integration with other Azure services. It supports multiple programming languages and frameworks, making it easy for developers to build APIs using their preferred tools and technologies.""","[""SpecializedSkill""]"
"""Application Developer Team Lead""","""ESC12BE82D8A0F2CA4FC""","""Azure API Management""","""Azure API Management is a specialized skill that involves managing and securing a company's application programming interfaces (APIs) using Azure's cloud-based platform. It requires knowledge of API design, configuration, monitoring, and analytics, as well as skills in scripting and working with RESTful APIs. Azure API Management experts also need to have experience in working with different API styles, such as SOAP, XML, JSON, and GraphQL, and be familiar with authentication mechanisms like OAuth and OpenID Connect. This skill is essential for businesses that use APIs to integrate their systems with other applications and services.""","[""SpecializedSkill""]"
"""Azure Developer""","""ESC12BE82D8A0F2CA4FC""","""Azure API Management""","""Azure API Management is a specialized skill that involves managing and securing a company's application programming interfaces (APIs) using Azure's cloud-based platform. It requires knowledge of API design, configuration, monitoring, and analytics, as well as skills in scripting and working with RESTful APIs. Azure API Management experts also need to have experience in working with different API styles, such as SOAP, XML, JSON, and GraphQL, and be familiar with authentication mechanisms like OAuth and OpenID Connect. This skill is essential for businesses that use APIs to integrate their systems with other applications and services.""","[""SpecializedSkill""]"
"""Dynamics CRM Developer""","""ESC12BE82D8A0F2CA4FC""","""Azure API Management""","""Azure API Management is a specialized skill that involves managing and securing a company's application programming interfaces (APIs) using Azure's cloud-based platform. It requires knowledge of API design, configuration, monitoring, and analytics, as well as skills in scripting and working with RESTful APIs. Azure API Management experts also need to have experience in working with different API styles, such as SOAP, XML, JSON, and GraphQL, and be familiar with authentication mechanisms like OAuth and OpenID Connect. This skill is essential for businesses that use APIs to integrate their systems with other applications and services.""","[""SpecializedSkill""]"
"""Sharepoint Application Developer""","""ESE9C8B8AF9B038D93F0""","""Azure Application Insights""","""Microsoft Azure, commonly referred to as Azure, is a cloud computing service created by Microsoft for building, testing, deploying, and managing applications and services through Microsoft-managed data centers. It provides software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.""","[""SpecializedSkill""]"
""".NET/SQL Server Developer""","""ESD5879314ACF3742F19""","""Azure Automation""","""Azure Automation is a cloud-based solution provided by Microsoft Azure that automates repetitive and manual tasks using PowerShell scripts, graphical runbooks, or Python scripts. It helps organizations to reduce errors, increase efficiency, and decrease costs by automating tasks such as provisioning, deployment, maintenance, and monitoring of resources in the cloud environment. With Azure Automation, organizations can also schedule and trigger tasks, track and monitor activity, and manage resources across multiple Azure environments.""","[""SpecializedSkill""]"
""".NET Azure Developer""","""ESB856D0E5C4EFC8D884""","""Azure Blob Storage""","""A Binary Large OBject (BLOB) is a collection of binary data stored as a single entity. Blobs are typically images, audio or other multimedia objects, though sometimes binary executable code is stored as a blob. They can exist as persistent values inside some databases, or exist at runtime as program variables in some languages.""","[""SpecializedSkill""]"
"""Platform Developer""","""ESF5943639E2E815A6F4""","""Azure Cognitive Services""","""Microsoft Azure, commonly referred to as Azure, is a cloud computing service created by Microsoft for building, testing, deploying, and managing applications and services through Microsoft-managed data centers. It provides software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.""","[""SpecializedSkill""]"
""".NET Azure Developer""","""ESF5943639E2E815A6F4""","""Azure Cognitive Services""","""Microsoft Azure, commonly referred to as Azure, is a cloud computing service created by Microsoft for building, testing, deploying, and managing applications and services through Microsoft-managed data centers. It provides software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.""","[""SpecializedSkill""]"
"""Full Stack C# Developer""","""ESF91B25CF9205D0E8E0""","""Azure Cosmos DB""","""Azure Cosmos DB is Microsoft's proprietary globally-distributed, multi-model database service \""for managing data at planet-scale\"" launched in May 2017. It is schema-agnostic, horizontally scalable and generally classified as a NoSQL database.""","[""SpecializedSkill""]"
""".NET Azure Developer""","""ESF91B25CF9205D0E8E0""","""Azure Cosmos DB""","""Azure Cosmos DB is Microsoft's proprietary globally-distributed, multi-model database service \""for managing data at planet-scale\"" launched in May 2017. It is schema-agnostic, horizontally scalable and generally classified as a NoSQL database.""","[""SpecializedSkill""]"
"""Azure Developer""","""ESF91B25CF9205D0E8E0""","""Azure Cosmos DB""","""Azure Cosmos DB is Microsoft's proprietary globally-distributed, multi-model database service \""for managing data at planet-scale\"" launched in May 2017. It is schema-agnostic, horizontally scalable and generally classified as a NoSQL database.""","[""SpecializedSkill""]"
"""Azure Developer""","""ES6A318365970B5F5326""","""Azure Data Factory""","""Azure Data Factory is a cloud-based data integration service offered by Microsoft that allows organizations to efficiently and securely move data between different data stores and transform the data as per the business needs. It provides a no-code, low-code data pipeline development environment that enables integrating data across various sources such as on-premises, cloud-based, and hybrid environments. It also allows for scheduling and monitoring of data integration and transformation operations in real-time. A person skilled in Azure Data Factory may be involved in designing, developing, and overseeing complex data pipelines or automating data ingestion and ETL workflows.""","[""SpecializedSkill""]"
"""Database Developer""","""ES6A318365970B5F5326""","""Azure Data Factory""","""Azure Data Factory is a cloud-based data integration service offered by Microsoft that allows organizations to efficiently and securely move data between different data stores and transform the data as per the business needs. It provides a no-code, low-code data pipeline development environment that enables integrating data across various sources such as on-premises, cloud-based, and hybrid environments. It also allows for scheduling and monitoring of data integration and transformation operations in real-time. A person skilled in Azure Data Factory may be involved in designing, developing, and overseeing complex data pipelines or automating data ingestion and ETL workflows.""","[""SpecializedSkill""]"
"""Azure Developer""","""ESEFC16BE5818C2E78BF""","""Azure Databricks""","""Azure Databricks is a cloud-based big data processing and analytics platform built on Apache Spark. It provides a collaborative and scalable environment for data scientists, data engineers, and business analysts to process and analyze large volumes of data in real-time. It offers a range of features and tools for data processing, machine learning, and data visualization, making it a powerful platform for organizations to derive insights and make data-driven decisions.""","[""SpecializedSkill""]"
"""IT Developer""","""ES90B700AC1B11988141""","""Azure Internet Of Things (IoT)""","""Azure Internet of Things (IoT) is a cloud-based platform that enables businesses to integrate and manage IoT devices and data. It provides a range of tools and services for device connectivity, data analysis, and visualization, as well as security and management. With Azure IoT, businesses can create custom solutions for IoT devices, including sensors, gateways, and other devices that can be used for monitoring and automation. This specialized skill helps businesses to drive innovation, improve operations, and increase efficiency by leveraging the power of IoT technologies.""","[""SpecializedSkill""]"
"""Azure Developer""","""BGS6954B1B5C76076457""","""Azure Load Balancer""","""In computing, load balancing refers to the process of distributing a set of tasks over a set of resources, with the aim of making their overall processing more efficient. Load balancing can optimize the response time and avoid unevenly overloading some compute nodes while other compute nodes are left idle.""","[""SpecializedSkill""]"
"""Azure Developer""","""ES3C8E816B73382BB289""","""Azure Logic Apps""","""Azure Logic Apps is a cloud-based service provided by Microsoft Azure that allows users to integrate data and automate business processes across different applications and services. It provides a visual designer to model and automate workflows and offers over 200 pre-built connectors to popular apps and services, including Salesforce, Office 365, and Dropbox. Azure Logic Apps can help businesses save time and increase efficiency by automating tasks and reducing manual work.""","[""SpecializedSkill""]"
"""Dynamics 365 Developer""","""ES3C8E816B73382BB289""","""Azure Logic Apps""","""Azure Logic Apps is a cloud-based service provided by Microsoft Azure that allows users to integrate data and automate business processes across different applications and services. It provides a visual designer to model and automate workflows and offers over 200 pre-built connectors to popular apps and services, including Salesforce, Office 365, and Dropbox. Azure Logic Apps can help businesses save time and increase efficiency by automating tasks and reducing manual work.""","[""SpecializedSkill""]"
""".NET Azure Developer""","""ES3C8E816B73382BB289""","""Azure Logic Apps""","""Azure Logic Apps is a cloud-based service provided by Microsoft Azure that allows users to integrate data and automate business processes across different applications and services. It provides a visual designer to model and automate workflows and offers over 200 pre-built connectors to popular apps and services, including Salesforce, Office 365, and Dropbox. Azure Logic Apps can help businesses save time and increase efficiency by automating tasks and reducing manual work.""","[""SpecializedSkill""]"
""".NET Developer""","""ES592DD582F7B34D872A""","""Azure Service Bus""","""Azure Service Bus is a fully-managed messaging service provided by Microsoft Azure that enables reliable exchange of messages between applications and services. It supports various communication patterns, including publish/subscribe, point-to-point, and request/response. It also provides features such as message queuing, message sessions, dead-lettering, and message filtering. Azure Service Bus is widely used for building scalable, asynchronous, and distributed applications in the cloud.""","[""SpecializedSkill""]"
"""Dynamics 365 Developer""","""ES592DD582F7B34D872A""","""Azure Service Bus""","""Azure Service Bus is a fully-managed messaging service provided by Microsoft Azure that enables reliable exchange of messages between applications and services. It supports various communication patterns, including publish/subscribe, point-to-point, and request/response. It also provides features such as message queuing, message sessions, dead-lettering, and message filtering. Azure Service Bus is widely used for building scalable, asynchronous, and distributed applications in the cloud.""","[""SpecializedSkill""]"
""".NET Azure Developer""","""ES592DD582F7B34D872A""","""Azure Service Bus""","""Azure Service Bus is a fully-managed messaging service provided by Microsoft Azure that enables reliable exchange of messages between applications and services. It supports various communication patterns, including publish/subscribe, point-to-point, and request/response. It also provides features such as message queuing, message sessions, dead-lettering, and message filtering. Azure Service Bus is widely used for building scalable, asynchronous, and distributed applications in the cloud.""","[""SpecializedSkill""]"
"""Back End Developer""","""ES3ED27455FB8FE5653B""","""Azure Service Fabric""","""Microsoft Azure, commonly referred to as Azure, is a cloud computing service created by Microsoft for building, testing, deploying, and managing applications and services through Microsoft-managed data centers. It provides software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.""","[""SpecializedSkill""]"
"""Azure Developer""","""ES3ED27455FB8FE5653B""","""Azure Service Fabric""","""Microsoft Azure, commonly referred to as Azure, is a cloud computing service created by Microsoft for building, testing, deploying, and managing applications and services through Microsoft-managed data centers. It provides software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.""","[""SpecializedSkill""]"
"""Sharepoint Application Developer""","""ESC67B4D284220100378""","""Azure Web Apps""","""Azure Web Apps is a platform-as-a-service (PaaS) offering from Microsoft Azure designed for hosting web applications. It allows web developers to easily deploy, manage and scale their web apps without worrying about the underlying infrastructure. Azure Web Apps supports a wide range of programming languages and frameworks and provides various features such as automatic scaling, continuous deployment, and high availability. It also facilitates integration with other Azure services such as Azure SQL Database and Azure Active Directory.""","[""SpecializedSkill""]"
""".NET Azure Developer""","""ESC67B4D284220100378""","""Azure Web Apps""","""Azure Web Apps is a platform-as-a-service (PaaS) offering from Microsoft Azure designed for hosting web applications. It allows web developers to easily deploy, manage and scale their web apps without worrying about the underlying infrastructure. Azure Web Apps supports a wide range of programming languages and frameworks and provides various features such as automatic scaling, continuous deployment, and high availability. It also facilitates integration with other Azure services such as Azure SQL Database and Azure Active Directory.""","[""SpecializedSkill""]"
"""Front End Developer""","""KSGGHFDN9434DJU3X69P""","""Bulma CSS""","""Bulma  is a character featured in the Dragon Ball franchise, first appearing in the manga series created by Akira Toriyama. She debuted in the first chapter Bulma and Son Goku , published in Weekly Shōnen Jump magazine on June 19, 1984 issue 51, meeting Goku and recruiting him as her bodyguard to travel and find the wish-granting Dragon Balls. Bulma is the daughter of Dr. Brief, the founder of the Capsule Corporation, a company that creates special small capsules that shrink and hold objects of various sizes for easy storage. Being the daughter of a brilliant scientist, Bulma is also a scientific genius, as well as an inventor and engineer. Along with creating the Dragon Radar, a device that detects the energy signal emitted by a Dragon Ball, Bulma's role as an inventor becomes important at several points in the series; including the time machine that brings her future son Trunks to the past.""","[""SpecializedSkill""]"
"""Full Stack C# Developer""","""KSGGHFDN9434DJU3X69P""","""Bulma CSS""","""Bulma  is a character featured in the Dragon Ball franchise, first appearing in the manga series created by Akira Toriyama. She debuted in the first chapter Bulma and Son Goku , published in Weekly Shōnen Jump magazine on June 19, 1984 issue 51, meeting Goku and recruiting him as her bodyguard to travel and find the wish-granting Dragon Balls. Bulma is the daughter of Dr. Brief, the founder of the Capsule Corporation, a company that creates special small capsules that shrink and hold objects of various sizes for easy storage. Being the daughter of a brilliant scientist, Bulma is also a scientific genius, as well as an inventor and engineer. Along with creating the Dragon Radar, a device that detects the energy signal emitted by a Dragon Ball, Bulma's role as an inventor becomes important at several points in the series; including the time machine that brings her future son Trunks to the past.""","[""SpecializedSkill""]"
"""Systems Developer""","""KSGGHFDN9434DJU3X69P""","""Bulma CSS""","""Bulma  is a character featured in the Dragon Ball franchise, first appearing in the manga series created by Akira Toriyama. She debuted in the first chapter Bulma and Son Goku , published in Weekly Shōnen Jump magazine on June 19, 1984 issue 51, meeting Goku and recruiting him as her bodyguard to travel and find the wish-granting Dragon Balls. Bulma is the daughter of Dr. Brief, the founder of the Capsule Corporation, a company that creates special small capsules that shrink and hold objects of various sizes for easy storage. Being the daughter of a brilliant scientist, Bulma is also a scientific genius, as well as an inventor and engineer. Along with creating the Dragon Radar, a device that detects the energy signal emitted by a Dragon Ball, Bulma's role as an inventor becomes important at several points in the series; including the time machine that brings her future son Trunks to the past.""","[""SpecializedSkill""]"
"""JavaScript Developer""","""KSGGHFDN9434DJU3X69P""","""Bulma CSS""","""Bulma  is a character featured in the Dragon Ball franchise, first appearing in the manga series created by Akira Toriyama. She debuted in the first chapter Bulma and Son Goku , published in Weekly Shōnen Jump magazine on June 19, 1984 issue 51, meeting Goku and recruiting him as her bodyguard to travel and find the wish-granting Dragon Balls. Bulma is the daughter of Dr. Brief, the founder of the Capsule Corporation, a company that creates special small capsules that shrink and hold objects of various sizes for easy storage. Being the daughter of a brilliant scientist, Bulma is also a scientific genius, as well as an inventor and engineer. Along with creating the Dragon Radar, a device that detects the energy signal emitted by a Dragon Ball, Bulma's role as an inventor becomes important at several points in the series; including the time machine that brings her future son Trunks to the past.""","[""SpecializedSkill""]"
"""Servicenow Developer""","""KS121B66TSB701DW6G0L""","""C Mathematical Functions (C Standard Library)""","""C mathematical operations are a group of functions in the standard library of the C programming language implementing basic mathematical functions. All functions use floating-point numbers in one manner or another. Different C standards provide different, albeit backwards-compatible, sets of functions. Most of these functions are also available in the C++ standard library, though in different headers.""","[""SpecializedSkill""]"
"""Software Developer Engineer""","""ESBBAAB925F887C0FBF3""","""C Programming Language Certified Associate (CLA)""","""C is a general-purpose computer programming language. It was created in the 1970s by Dennis Ritchie, and remains very widely used and influential. By design, C's features cleanly reflect the capabilities of the targeted CPUs. It has found lasting use in operating systems, device drivers, protocol stacks, though decreasingly for application software. C is commonly used on computer architectures that range from the largest supercomputers to the smallest microcontrollers and embedded systems.""","[""Certification""]"
"""Linux Kernel Developer""","""KS1219R6R6X7TSCTG4TM""","""C Shell""","""The C shell is a Unix shell created by Bill Joy while he was a graduate student at University of California, Berkeley in the late 1970s. It has been widely distributed, beginning with the 2BSD release of the Berkeley Software Distribution (BSD) which Joy first distributed in 1978. Other early contributors to the ideas or the code were Michael Ubell, Eric Allman, Mike O'Brien and Jim Kulp.""","[""SpecializedSkill""]"
"""Software Tools Developer""","""KS1219R6R6X7TSCTG4TM""","""C Shell""","""The C shell is a Unix shell created by Bill Joy while he was a graduate student at University of California, Berkeley in the late 1970s. It has been widely distributed, beginning with the 2BSD release of the Berkeley Software Distribution (BSD) which Joy first distributed in 1978. Other early contributors to the ideas or the code were Michael Ubell, Eric Allman, Mike O'Brien and Jim Kulp.""","[""SpecializedSkill""]"
"""AEM Developer""","""KS122K66Q3QQVTDN91F8""","""CSE HTML Validator""","""CSS HTML Validator is an HTML editor and CSS editor for Windows that helps web developers create syntactically correct and accessible HTML, XHTML, and CSS documents by locating errors, potential problems, and common mistakes. It is also able to check links, suggest improvements, alert developers to deprecated, obsolete, or proprietary tags, attributes, and CSS properties, and find issues that can affect search engine optimization.""","[""SpecializedSkill""]"
"""GUI Developer""","""KS122K66Q3QQVTDN91F8""","""CSE HTML Validator""","""CSS HTML Validator is an HTML editor and CSS editor for Windows that helps web developers create syntactically correct and accessible HTML, XHTML, and CSS documents by locating errors, potential problems, and common mistakes. It is also able to check links, suggest improvements, alert developers to deprecated, obsolete, or proprietary tags, attributes, and CSS properties, and find issues that can affect search engine optimization.""","[""SpecializedSkill""]"
"""Front End Web Developer""","""KS122K66Q3QQVTDN91F8""","""CSE HTML Validator""","""CSS HTML Validator is an HTML editor and CSS editor for Windows that helps web developers create syntactically correct and accessible HTML, XHTML, and CSS documents by locating errors, potential problems, and common mistakes. It is also able to check links, suggest improvements, alert developers to deprecated, obsolete, or proprietary tags, attributes, and CSS properties, and find issues that can affect search engine optimization.""","[""SpecializedSkill""]"
"""Software Developer""","""KS1220T77N5VP9CSHSX6""","""CSLA .NET (Software Development Framework)""","""CSLA .NET is a software framework created by Rockford Lhotka that provides a standard way to create robust object oriented programs using business objects. Business objects are objects that abstract business entities in an object oriented program. Some examples of business entities include sales orders, employees, or invoices.""","[""SpecializedSkill""]"
"""Full Stack C# Developer""","""KS122KM72HXH4PW99853""","""CSS Codes""","""In quantum error correction, CSS codes, named after their inventors, Robert Calderbank, Peter Shor and Andrew Steane, are a special type of Stabilizer codes constructed from classical codes with some special properties. An example of a CSS code is the Steane code.""","[""SpecializedSkill""]"
"""Front End Developer""","""KS122KN6KY17NGPWFDVB""","""CSS Frameworks""","""A CSS framework is a library allowing for easier, more standards-compliant web design using the Cascading Style Sheets language. Most of these frameworks contain at least a grid. More functional frameworks also come with more features and additional JavaScript based functions, but are mostly design oriented and focused around interactive UI patterns. This detail differentiates CSS frameworks from other JavaScript frameworks.""","[""SpecializedSkill""]"
"""Angular Developer""","""KS122KN6KY17NGPWFDVB""","""CSS Frameworks""","""A CSS framework is a library allowing for easier, more standards-compliant web design using the Cascading Style Sheets language. Most of these frameworks contain at least a grid. More functional frameworks also come with more features and additional JavaScript based functions, but are mostly design oriented and focused around interactive UI patterns. This detail differentiates CSS frameworks from other JavaScript frameworks.""","[""SpecializedSkill""]"
"""Web Developer""","""KS122KN6KY17NGPWFDVB""","""CSS Frameworks""","""A CSS framework is a library allowing for easier, more standards-compliant web design using the Cascading Style Sheets language. Most of these frameworks contain at least a grid. More functional frameworks also come with more features and additional JavaScript based functions, but are mostly design oriented and focused around interactive UI patterns. This detail differentiates CSS frameworks from other JavaScript frameworks.""","[""SpecializedSkill""]"
"""Full Stack C# Developer""","""KS122KN6KY17NGPWFDVB""","""CSS Frameworks""","""A CSS framework is a library allowing for easier, more standards-compliant web design using the Cascading Style Sheets language. Most of these frameworks contain at least a grid. More functional frameworks also come with more features and additional JavaScript based functions, but are mostly design oriented and focused around interactive UI patterns. This detail differentiates CSS frameworks from other JavaScript frameworks.""","[""SpecializedSkill""]"
"""Microsoft Developer""","""KS7G4NH6ZKG8KS0QTGBV""","""Certified Linux Administrator""","""Certified Linux Administrator (CLA) is a certification that validates a professional's knowledge and skills in Linux operating systems and related technologies. This certification is awarded by various organizations and requires passing an exam that tests one's understanding of Linux installation, configuration, system maintenance, networking, security, and troubleshooting. CLA is considered an essential qualification for individuals pursuing a career in Linux administration and is widely recognized by employers as a testament to the candidate's professionalism and expertise in the field.""","[""Certification""]"
"""IVR Developer""","""BGS97A7D483135F256D5""","""Cisco Unified Contact Center Enterprise""","""Cisco Unified Contact Center Enterprise is a software solution that integrates various communication channels, including voice, email, chat, social media, and video, to provide a seamless customer experience. It enables businesses to route customer inquiries to the right agent, providing timely and accurate responses. The solution also helps managers to monitor and analyze communication metrics, reducing response times and optimizing performance. Cisco Unified Contact Center Enterprise is a specialized skill for professionals who manage enterprise-level contact centers.""","[""SpecializedSkill""]"
"""Hadoop Developer""","""KS121GD67VNL4Q5FQW4T""","""Cloudera Certified Developer For Hadoop (CCDH)""","""Cloudera Certified Developer for Hadoop (CCDH) is a certification program that validates an individual's expertise in developing and creating applications using the Hadoop ecosystem. It is designed to demonstrate a developer‚Äôs ability to work with Hadoop and related tools to design, develop, and maintain efficient and scalable big data applications. The program covers a range of topics including the fundamentals of Hadoop, MapReduce, YARN, HDFS, and related technologies. The certification is widely recognized in the industry and serves as a benchmark for Hadoop developers.""","[""Certification""]"
"""PHP Developer""","""BGSF295FC8FB5EA93E89""","""Composer PHP""","""Composer is an application-level package manager for the PHP programming language that provides a standard format for managing dependencies of PHP software and required libraries. It was developed by Nils Adermann and Jordi Boggiano, who continue to manage the project. They began development in April 2011 and first released it on March 1, 2012. Composer is strongly inspired by Node.js's \""npm\"" and Ruby's \""bundler\"". The project's dependency solving algorithm started out as a PHP-based port of openSUSE's libzypp satsolver.""","[""SpecializedSkill""]"
